127.0.0.1 - - [16/Jun/2023:16:42:54 -0600] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /restaurante-web/ HTTP/1.1" 200 7344
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml;jsessionid=CD76CF20229ECD56383007FB5F03A3C1?ln=bsf HTTP/1.1" 200 136471
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml;jsessionid=CD76CF20229ECD56383007FB5F03A3C1?ln=bsf HTTP/1.1" 200 72336
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml;jsessionid=CD76CF20229ECD56383007FB5F03A3C1?ln=bsf HTTP/1.1" 200 89568
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml;jsessionid=CD76CF20229ECD56383007FB5F03A3C1?ln=bsf HTTP/1.1" 200 15384
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml;jsessionid=CD76CF20229ECD56383007FB5F03A3C1?ln=bsf HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml;jsessionid=CD76CF20229ECD56383007FB5F03A3C1?ln=bsf HTTP/1.1" 200 10408
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml;jsessionid=CD76CF20229ECD56383007FB5F03A3C1?ln=bsf HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml;jsessionid=CD76CF20229ECD56383007FB5F03A3C1?ln=bsf HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml;jsessionid=CD76CF20229ECD56383007FB5F03A3C1?ln=javax.faces&stage=Development HTTP/1.1" 200 152475
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml;jsessionid=CD76CF20229ECD56383007FB5F03A3C1?ln=bsf HTTP/1.1" 200 4764
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /restaurante-web/resources/images/login/loginrestaurante.jpg;jsessionid=CD76CF20229ECD56383007FB5F03A3C1 HTTP/1.1" 200 80080
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:42:59 -0600] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:51 -0600] "POST /restaurante-web/login.xhtml;jsessionid=CD76CF20229ECD56383007FB5F03A3C1 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:52 -0600] "GET /restaurante-web/adminmenu.xhtml HTTP/1.1" 200 4649
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:52 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:52 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:52 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:52 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:52 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:52 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:52 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:52 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/admintiposalimentos.xhtml HTTP/1.1" 200 19932
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:55 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:56 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:44:56 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/adminalimentos.xhtml HTTP/1.1" 200 14483
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/css/select2.min.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/js/select2.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/resources/images/alimentos/chilaquill.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/resources/images/alimentos/flanchilakilpower.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:58 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:59 -0600] "GET /restaurante-web/resources/images/alimentos/flanchilakilpower.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:45:59 -0600] "GET /restaurante-web/resources/images/alimentos/chilaquill.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:04 -0600] "POST /restaurante-web/adminalimentos.xhtml HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/admintiposalimentos.xhtml HTTP/1.1" 200 19928
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:46:59 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/admintiposalimentos.xhtml HTTP/1.1" 200 19924
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:48:10 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:49:51 -0600] "GET /restaurante-web/adminalimentos.xhtml HTTP/1.1" 200 14480
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:49:51 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:49:51 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:49:51 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:49:51 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:49:51 -0600] "GET /restaurante-web/javax.faces.resource/css/select2.min.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:49:51 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:49:51 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:49:51 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:49:51 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:49:51 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:16:49:51 -0600] "GET /restaurante-web/javax.faces.resource/js/select2.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
