127.0.0.1 - - [19/May/2023:16:57:14 -0600] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:15 -0600] "GET /restaurante-web/ HTTP/1.1" 404 707
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:16 -0600] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:22 -0600] "GET /restaurante-web/login.xhtml HTTP/1.1" 200 7345
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:22 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml;jsessionid=AA2C073E73CED20B6D22D018EE128608?ln=bsf HTTP/1.1" 200 89568
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:22 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml;jsessionid=AA2C073E73CED20B6D22D018EE128608?ln=bsf HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:22 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml;jsessionid=AA2C073E73CED20B6D22D018EE128608?ln=bsf HTTP/1.1" 200 72336
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:22 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml;jsessionid=AA2C073E73CED20B6D22D018EE128608?ln=bsf HTTP/1.1" 200 136471
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:22 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml;jsessionid=AA2C073E73CED20B6D22D018EE128608?ln=javax.faces&stage=Development HTTP/1.1" 200 152475
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:22 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml;jsessionid=AA2C073E73CED20B6D22D018EE128608?ln=bsf HTTP/1.1" 200 10408
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:22 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml;jsessionid=AA2C073E73CED20B6D22D018EE128608?ln=bsf HTTP/1.1" 200 15384
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:22 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml;jsessionid=AA2C073E73CED20B6D22D018EE128608?ln=bsf HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:22 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml;jsessionid=AA2C073E73CED20B6D22D018EE128608?ln=bsf HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:22 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml;jsessionid=AA2C073E73CED20B6D22D018EE128608?ln=bsf HTTP/1.1" 200 4764
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:22 -0600] "GET /restaurante-web/resources/images/login/loginrestaurante.jpg;jsessionid=AA2C073E73CED20B6D22D018EE128608 HTTP/1.1" 200 80080
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:22 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:29 -0600] "POST /restaurante-web/login.xhtml;jsessionid=AA2C073E73CED20B6D22D018EE128608 HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:29 -0600] "GET /restaurante-web/adminrestaurantes.xhtml HTTP/1.1" 200 11956
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:29 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:29 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:29 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:29 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:29 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:29 -0600] "GET /restaurante-web/javax.faces.resource/js/select2.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:29 -0600] "GET /restaurante-web/javax.faces.resource/css/select2.min.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:29 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:29 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:29 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:30 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:30 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:16:57:30 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
