127.0.0.1 - - [03/Jul/2023:10:40:12 -0600] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:21 -0600] "GET /restaurante-web/ HTTP/1.1" 200 7991
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:21 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml;jsessionid=9232DF3927EBD120466AA8B9980C54A0?ln=bsf HTTP/1.1" 200 89568
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:21 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml;jsessionid=9232DF3927EBD120466AA8B9980C54A0?ln=bsf HTTP/1.1" 200 72336
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:21 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml;jsessionid=9232DF3927EBD120466AA8B9980C54A0?ln=bsf HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:21 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml;jsessionid=9232DF3927EBD120466AA8B9980C54A0?ln=bsf HTTP/1.1" 200 136471
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:21 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml;jsessionid=9232DF3927EBD120466AA8B9980C54A0?ln=bsf HTTP/1.1" 200 10408
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:21 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.css.xhtml;jsessionid=9232DF3927EBD120466AA8B9980C54A0?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11241
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:21 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml;jsessionid=9232DF3927EBD120466AA8B9980C54A0?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:21 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml;jsessionid=9232DF3927EBD120466AA8B9980C54A0?ln=javax.faces&stage=Development HTTP/1.1" 200 152475
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:22 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml;jsessionid=9232DF3927EBD120466AA8B9980C54A0?ln=bsf HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:22 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml;jsessionid=9232DF3927EBD120466AA8B9980C54A0?ln=bsf HTTP/1.1" 200 15384
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:22 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml;jsessionid=9232DF3927EBD120466AA8B9980C54A0?ln=bsf HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:22 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml;jsessionid=9232DF3927EBD120466AA8B9980C54A0?ln=bsf HTTP/1.1" 200 4764
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:22 -0600] "GET /restaurante-web/resources/images/login/loginrestaurante.jpg;jsessionid=9232DF3927EBD120466AA8B9980C54A0 HTTP/1.1" 200 80080
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:22 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 200 18056
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:40:22 -0600] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:27 -0600] "POST /restaurante-web/login.xhtml;jsessionid=9232DF3927EBD120466AA8B9980C54A0 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/adminmenu.xhtml HTTP/1.1" 200 21046
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 200 72336
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 200 136471
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 200 10408
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89756
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 146589
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89155
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11241
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 108104
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/touch/touchswipe.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 9961
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 492154
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 200 152475
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 200 15384
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 200 4764
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/javax.faces.resource//resources/images/alimentos/espaguetiBlanco.jpg.xhtml HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:28 -0600] "GET /restaurante-web/resources/images/login/loginrestaurante.jpg HTTP/1.1" 200 80080
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:29 -0600] "GET /restaurante-web/resources/images/alimentos/naranjadaMineral.jpg HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:29 -0600] "GET /restaurante-web/resources/images/alimentos/espaguetiBlanco.jpg HTTP/1.1" 200 8688
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:29 -0600] "GET /restaurante-web/resources/images/alimentos/chilaquilesrojos.jpg HTTP/1.1" 200 7982
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:29 -0600] "GET /restaurante-web/resources/images/alimentos/espaguetiRojo.jpg HTTP/1.1" 200 11006
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:29 -0600] "GET /restaurante-web/resources/images/alimentos/napolitano.jpg HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:29 -0600] "GET /restaurante-web/resources/images/alimentos/chilaquilesVerdes.jpg HTTP/1.1" 200 11959
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:29 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:29 -0600] "GET /restaurante-web/resources/images/alimentos/tacoCarnitas.jpg HTTP/1.1" 200 7127
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:41:30 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.woff2.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 30217
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:42:28 -0600] "GET /restaurante-web/adminempleados.xhtml HTTP/1.1" 500 93323
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:55:03 -0600] "GET /restaurante-web/login.xhtml HTTP/1.1" 200 7375
0:0:0:0:0:0:0:1 - - [03/Jul/2023:10:55:03 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
