127.0.0.1 - - [19/Jun/2023:09:21:43 -0600] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:20 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:20 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:20 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:20 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:25 -0600] "POST /restaurante-web/login.xhtml HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:25 -0600] "GET /restaurante-web/adminmenu.xhtml HTTP/1.1" 200 4651
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:25 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:25 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:25 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:25 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:25 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:25 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:25 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:25 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/adminalimentos.xhtml HTTP/1.1" 200 15908
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/css/select2.min.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/js/select2.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:28 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:29 -0600] "GET /restaurante-web/resources/images/alimentos/chilaquill.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:29 -0600] "GET /restaurante-web/resources/images/alimentos/flanchilakilpower.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:29 -0600] "GET /restaurante-web/resources/images/alimentos/null HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:29 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:29 -0600] "GET /restaurante-web/resources/images/alimentos/chilaquill.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:29 -0600] "GET /restaurante-web/resources/images/alimentos/null HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:29 -0600] "GET /restaurante-web/resources/images/alimentos/flanchilakilpower.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:37:35 -0600] "POST /restaurante-web/adminalimentos.xhtml HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:20 -0600] "POST /restaurante-web/adminalimentos.xhtml HTTP/1.1" 200 9747
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:20 -0600] "GET /restaurante-web/resources/images/alimentos/chilaquill.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:20 -0600] "GET /restaurante-web/resources/images/alimentos/flanchilakilpower.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:20 -0600] "GET /restaurante-web/resources/images/alimentos/null HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:20 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:20 -0600] "GET /restaurante-web/resources/images/alimentos/flanchilakilpower.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:20 -0600] "GET /restaurante-web/resources/images/alimentos/chilaquill.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:20 -0600] "GET /restaurante-web/resources/images/alimentos/null HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:44 -0600] "GET /restaurante-web/admintiposalimentos.xhtml HTTP/1.1" 200 19928
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:44 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:44 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:44 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:44 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:44 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:44 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:45 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:45 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:45 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:45 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:45 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:45 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:45 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:45 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/adminalimentos.xhtml HTTP/1.1" 200 15911
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/css/select2.min.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/js/select2.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/resources/images/alimentos/flanchilakilpower.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/resources/images/alimentos/chilaquill.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/resources/images/alimentos/null HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/resources/images/alimentos/null HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/resources/images/alimentos/flanchilakilpower.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:38:47 -0600] "GET /restaurante-web/resources/images/alimentos/chilaquill.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:33 -0600] "POST /restaurante-web/adminalimentos.xhtml HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/admintiposalimentos.xhtml HTTP/1.1" 200 19932
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:36 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/adminalimentos.xhtml HTTP/1.1" 200 15914
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/css/select2.min.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/js/select2.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/resources/images/alimentos/chilaquill.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/resources/images/alimentos/flanchilakilpower.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/resources/images/alimentos/null HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/resources/images/alimentos/null HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/resources/images/alimentos/flanchilakilpower.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:38 -0600] "GET /restaurante-web/resources/images/alimentos/chilaquill.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:46 -0600] "GET /restaurante-web/admintiposalimentos.xhtml HTTP/1.1" 200 19932
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:46 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:46 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:46 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:46 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:09:41:46 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
