127.0.0.1 - - [30/Jun/2023:13:32:58 -0600] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:37 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:37 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:41 -0600] "POST /restaurante-web/login.xhtml HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:33:41 -0600] "GET /restaurante-web/menuempleado.xhtml HTTP/1.1" 500 16118
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/ HTTP/1.1" 200 7373
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:01 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:05 -0600] "POST /restaurante-web/login.xhtml HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:05 -0600] "GET /restaurante-web/menuempleado.xhtml HTTP/1.1" 500 16118
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:20 -0600] "GET /restaurante-web/ HTTP/1.1" 200 7376
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:20 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:20 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:20 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:20 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:20 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:20 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:20 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:20 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:20 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:20 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:20 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:20 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:25 -0600] "POST /restaurante-web/login.xhtml HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/menuempleado.xhtml HTTP/1.1" 200 9836
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/touch/touchswipe.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:35:26 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.woff2.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "POST /restaurante-web/menuempleado.xhtml HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/login.xhtml HTTP/1.1" 200 7374
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:43:59 -0600] "GET /restaurante-web/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "POST /restaurante-web/login.xhtml HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/adminrestaurantes.xhtml HTTP/1.1" 200 19659
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/css/animate.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/css/select2.min.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/css/bootstrap-switch.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/js/select2.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/js/alert.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/jq/jquery.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-notify.min.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:09 -0600] "GET /restaurante-web/javax.faces.resource/js/bootstrap-switch.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:10 -0600] "GET /restaurante-web/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:10 -0600] "GET /restaurante-web/javax.faces.resource/js/modal.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:10 -0600] "GET /restaurante-web/resources/images/restaurantes/Los_Chilaquiles_logo.jpg HTTP/1.1" 200 50696
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:10 -0600] "GET /restaurante-web/resources/images/restaurantes/restaurant1.jpg HTTP/1.1" 200 95896
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:10 -0600] "GET /restaurante-web/resources/images/restaurantes/cheff-restaurant.png HTTP/1.1" 200 51542
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:10 -0600] "GET /restaurante-web/resources/images/restaurantes/tokio.png HTTP/1.1" 200 14614
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:10 -0600] "GET /restaurante-web/resources/images/restaurantes/restaurante2.jpg HTTP/1.1" 200 19698
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:10 -0600] "GET /restaurante-web/resources/images/restaurantes/restaurant3estrellas.png HTTP/1.1" 200 15173
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:10 -0600] "GET /restaurante-web/javax.faces.resource/jq/ui/i18n/dt/datatable-es.json.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:29 -0600] "GET /restaurante-web/adminrestaurantes.xhtml HTTP/1.1" 200 19662
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:29 -0600] "GET /restaurante-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:29 -0600] "GET /restaurante-web/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:13:44:29 -0600] "GET /restaurante-web/javax.faces.resource/css/select2.min.css.xhtml?ln=bsf HTTP/1.1" 304 -
